Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 100 --call-graph fp --app com.zamface
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 91720
Event count: 135865288130

Overhead  Command          Tid
0.00%     RequestFactoryE  23649
0.00%     PfRxCachedThrea  20720
0.00%     DefaultDispatch  15368
0.00%     PfRxCachedThrea  23702
0.00%     PfRxCachedThrea  23674
0.00%     RequestFactoryE  23641
0.00%     3.ggpht.com/...  26768
0.00%     PfRxCachedThrea  23679
0.00%     PfRxCachedThrea  23668
0.00%     PfRxCachedThrea  23734
0.00%     PfRxCachedThrea  15575
0.00%     PfRxCachedThrea  20812
0.00%     PfRxCachedThrea  20798
0.00%     PfRxCachedThrea  15663
0.00%     RequestFactoryE  23644
0.00%     RequestFactoryE  23652
0.00%     glide-source-th  26789
0.00%     RequestFactoryE  23653
0.00%     PfRxCachedThrea  15653
0.00%     firebase-instal  23636
0.00%     PfRxCachedThrea  20744
0.00%     PfRxCachedThrea  23732
0.00%     ScionFrontendAp  23631
0.00%     OkHttp TaskRunn  15343
0.00%     RequestFactoryE  23633
0.00%     PfRxCachedThrea  23740
0.00%     PfRxCachedThrea  23783
0.00%     DefaultDispatch  15286
0.00%     OkHttp TaskRunn  15341
0.00%     PfRxCachedThrea  23782
0.00%     RequestFactoryE  23643
0.00%     DefaultDispatch  15285
0.00%     DefaultDispatch  15367
0.00%     DefaultDispatch  15273
0.00%     DefaultDispatch  15275
0.00%     PfRxCachedThrea  15606
