Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 100 --call-graph fp --app com.zamface
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 91720
Event count: 135865288130

Overhead  Command          Pid    Tid    Shared Object                                                                                                             Symbol
0.14%     FrameProcessing  15197  23790  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/lib/arm64/libvenus_tracking.so                  _ZN9Histogram3AddEi
0.13%     FrameProcessing  15197  23790  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/lib/arm64/libvenus_tracking.so                  _Z32clapackSolveOverDeterminedSystemR8ChMatrixIfEiiS1_S1_
0.13%     mqt_js           15197  15311  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/lib/arm64/libhermes.so                          libhermes.so[+f6fb0]
0.13%     FrameProcessing  15197  23790  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/lib/arm64/libvenus_tracking.so                  _ZN5Eigen8internal26outer_product_selector_runINS_5BlockINS2_INS_6MatrixIdLin1ELin1ELi0ELin1ELin1EEELin1ELin1ELb0EEELin1ELin1ELb0EEENS_13CwiseBinaryOpINS0_17scalar_product_opIddEEKNS_14CwiseNullaryOpINS0_18scalar_constant_opIdEEKNS3_IdLin1ELi1ELi0ELin1ELi1EEEEEKNS2_IKS4_Lin1ELi1ELb0EEEEENS_3MapINS3_IdLi1ELin1ELi1ELi1ELin1EEELi0ENS_6StrideILi0ELi0EEEEENS0_20generic_product_implISK_SP_NS_10DenseShapeESR_Li5EE3subEEEvRT_RKT0_RKT1_RKT2_RKNS0_10false_typeE
0.13%     mqt_native_modu  15197  15312  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/oat/arm64/base.odex                             com.facebook.yoga.YogaNodeJNIBase.calculateLayout
0.13%     HeapTaskDaemon   15197  15211  /apex/com.android.art/lib64/libart.so                                                                                     _ZN3art2gc9collector17ConcurrentCopying8IsMarkedEPNS_6mirror6ObjectE
0.13%     RenderThread     15197  15278  /system/lib64/libhwui.so                                                                                                  _ZNK7android10uirenderer12skiapipeline18RenderNodeDrawable11drawContentEP8SkCanvas
0.13%     HeapTaskDaemon   15197  15211  /apex/com.android.art/lib64/libart.so                                                                                     _ZN3art11ClassLinker15VisitClassRootsEPNS_11RootVisitorENS_14VisitRootFlagsE
0.13%     FrameProcessing  15197  23790  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/lib/arm64/libvenus_tracking.so                  _ZN19PixelDifferenceNode15GetFeatureValueEP7HyImageRK19LBFRegUpperShape32fS4_Pf
0.13%     FrameProcessing  15197  23790  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/lib/arm64/libvenus.so                           _ZN15VenusMakeupLive20GetLipMakeupMetadataEP21LiveLipMakeupMetadatai
0.12%     FrameProcessing  15197  23790  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/lib/arm64/libvenus_tracking.so                  _ZN5Eigen8internal19real_2x2_jacobi_svdINS_6MatrixIdLin1ELin1ELi0ELin1ELin1EEEdlEEvRKT_T1_S7_PNS_14JacobiRotationIT0_EESB_
0.12%     FrameProcessing  15197  23790  /apex/com.android.art/lib64/libart.so                                                                                     _ZNK3art6Thread13DecodeJObjectEP8_jobject
0.12%     mqt_js           15197  15311  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/lib/arm64/libhermes.so                          libhermes.so[+51e24]
0.12%     FrameProcessing  15197  23790  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/lib/arm64/libvenus_tracking.so                  _ZN23FaceAlignMotionSmoother6SmoothER24MakeupLive_FaceAlignDataR11VN_Point32fS3_bfbfPhS4_iPK15VN_FacePoseInfoPf
0.12%     glide-animation  15197  18658  [kernel.kallsyms]                                                                                                         el0_da
0.12%     mqt_native_modu  15197  15312  /apex/com.android.art/javalib/arm64/boot.oat                                                                              java.util.ArrayList.iterator
0.12%     glide-animation  15197  18657  [kernel.kallsyms]                                                                                                         clear_page
0.12%     glide-animation  15197  18657  [kernel.kallsyms]                                                                                                         el0_da
0.11%     FrameProcessing  15197  23790  /apex/com.android.art/lib64/libart.so                                                                                     _ZN3art12FindFieldJNIERKNS_18ScopedObjectAccessEP7_jclassPKcS6_b
0.11%     glide-disk-cach  15197  15370  /system/lib64/libhwui.so                                                                                                  _ZN4neon23S32_alpha_D32_filter_DXERK17SkBitmapProcStatePKjiPj
0.11%     mqt_native_modu  15197  15312  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/lib/arm64/libyoga.so                            libyoga.so[+a5f4]
0.11%     HeapTaskDaemon   15197  15211  /apex/com.android.art/lib64/libart.so                                                                                     _ZN3art19ReferenceMapVisitorINS_19RootCallbackVisitorELb0EE10VisitFrameEv
0.11%     HeapTaskDaemon   15197  15211  /apex/com.android.art/lib64/libart.so                                                                                     _ZN3art2gc9collector17ConcurrentCopying45ProcessMarkStackForMarkingAndComputeLiveBytesEv
0.11%     mqt_js           15197  15311  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/lib/arm64/libhermes.so                          libhermes.so[+51d4c]
0.11%     RenderThread     15197  15278  /vendor/lib64/egl/libGLESv2_adreno.so                                                                                     !!!0000!f56be09eb88f86833124f1df42e945!781e7d0!
0.11%     HeapTaskDaemon   15197  15211  /apex/com.android.art/lib64/libart.so                                                                                     _ZN3art2gc9collector17ConcurrentCopying19ProcessMarkStackRefEPNS_6mirror6ObjectE
0.10%     FrameProcessing  15197  23790  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/lib/arm64/libvenus_tracking.so                  _Z29libdivide_u32_do_vector_case212__Uint32x4_tPK15libdivide_u32_t
0.10%     FrameProcessing  15197  23790  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/lib/arm64/libvenus.so                           _ZN15VenusMakeupLive36CalcDarkestAndBrightestReferenceLumaEb
0.10%     glide-animation  15197  18657  /system/lib64/libhwui.so                                                                                                  _ZN23BitmapProcShaderContext9shadeSpanEiiPji
0.10%     mqt_native_modu  15197  15312  /apex/com.android.runtime/lib64/bionic/libc.so                                                                            _ZN5scudo9AllocatorINS_13AndroidConfigEXadL_Z21scudo_malloc_postinitEEE27quarantineOrDeallocateChunkEPvPNS_5Chunk14UnpackedHeaderEm
0.10%     Binder:15197_1   15197  15215  [kernel.kallsyms]                                                                                                         zap_pte_range
0.10%     mqt_native_modu  15197  15312  /apex/com.android.runtime/lib64/bionic/libc.so                                                                            _ZN5scudo9AllocatorINS_13AndroidConfigEXadL_Z21scudo_malloc_postinitEEE8allocateEmNS_5Chunk6OriginEmb
0.10%     mqt_js           15197  15311  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/lib/arm64/libhermes.so                          libhermes.so[+f6f88]
0.10%     HeapTaskDaemon   15197  15211  /apex/com.android.art/lib64/libart.so                                                                                     _ZN3art2gc9collector17ConcurrentCopying17PushOntoMarkStackEPNS_6ThreadEPNS_6mirror6ObjectE
0.09%     GLThread 2003    15197  23778  /vendor/lib64/egl/libGLESv2_adreno.so                                                                                     !!!0000!6fd1d11959478379873bee344e3720!781e7d0!
0.09%     glide-animation  15197  18657  [kernel.kallsyms]                                                                                                         handle_pte_fault
0.09%     GLThread 2003    15197  23778  /apex/com.android.runtime/lib64/bionic/libc.so                                                                            __memcpy
0.09%     FrameProcessing  15197  23790  /apex/com.android.art/lib64/libart.so                                                                                     _ZN3art3JNIILb0EE13SetFloatFieldEP7_JNIEnvP8_jobjectP9_jfieldIDf
